ID,BattingTeam,innings,bowling_team,bowler,overs,wickets,runs_conceeded,Balls_Bowled,Econ,Avg,Strike_Rate,noballs,wides,Season,City
336016,Royal Challengers Bangalore,1,Kings XI Punjab,IK Pathan,4,1,27,25,6.75,27.0,25.0,0,1,2008,Chandigarh
336016,Royal Challengers Bangalore,1,Kings XI Punjab,JR Hopes,2,0,22,12,11.0,0.0,0.0,0,0,2008,Chandigarh
336016,Royal Challengers Bangalore,1,Kings XI Punjab,PP Chawla,4,2,33,25,8.25,16.5,12.5,0,1,2008,Chandigarh
336016,Royal Challengers Bangalore,1,Kings XI Punjab,S Sreesanth,4,3,29,25,7.25,9.67,8.33,0,1,2008,Chandigarh
336016,Royal Challengers Bangalore,1,Kings XI Punjab,VRV Singh,4,1,16,24,4.0,16.0,24.0,0,0,2008,Chandigarh
336016,Royal Challengers Bangalore,1,Kings XI Punjab,Yuvraj Singh,2,0,14,13,7.0,0.0,0.0,0,1,2008,Chandigarh
336017,Delhi Daredevils,2,Kolkata Knight Riders,AB Dinda,4,1,29,25,7.25,29.0,25.0,0,1,2008,Kolkata
336017,Delhi Daredevils,2,Kolkata Knight Riders,I Sharma,3,0,18,18,6.0,0.0,0.0,0,0,2008,Kolkata
336017,Delhi Daredevils,2,Kolkata Knight Riders,Iqbal Abdulla,3,0,22,18,7.33,0.0,0.0,0,0,2008,Kolkata
336017,Delhi Daredevils,2,Kolkata Knight Riders,LR Shukla,1,3,6,6,6.0,2.0,2.0,0,1,2008,Kolkata
336017,Delhi Daredevils,2,Kolkata Knight Riders,SC Ganguly,4,0,23,24,5.75,0.0,0.0,0,0,2008,Kolkata
336017,Delhi Daredevils,2,Kolkata Knight Riders,Shoaib Akhtar,3,4,11,19,3.67,2.75,4.75,0,1,2008,Kolkata
336017,Kolkata Knight Riders,1,Delhi Daredevils,A Mishra,3,0,13,18,4.33,0.0,0.0,0,0,2008,Kolkata
336017,Kolkata Knight Riders,1,Delhi Daredevils,GD McGrath,4,0,22,24,5.5,0.0,0.0,0,0,2008,Kolkata
336017,Kolkata Knight Riders,1,Delhi Daredevils,MF Maharoof,4,2,25,25,6.25,12.5,12.5,0,1,2008,Kolkata
336017,Kolkata Knight Riders,1,Delhi Daredevils,PJ Sangwan,4,1,29,27,7.25,29.0,27.0,0,3,2008,Kolkata
336017,Kolkata Knight Riders,1,Delhi Daredevils,V Sehwag,1,0,7,6,7.0,0.0,0.0,0,0,2008,Kolkata
336017,Kolkata Knight Riders,1,Delhi Daredevils,VY Mahesh,4,2,34,28,8.5,17.0,14.0,1,3,2008,Kolkata
336018,Chennai Super Kings,1,Mumbai Indians,A Nehra,4,0,31,25,7.75,0.0,0.0,0,1,2008,Mumbai
336018,Chennai Super Kings,1,Mumbai Indians,DJ Bravo,4,2,37,24,9.25,18.5,12.0,0,0,2008,Mumbai
336018,Chennai Super Kings,1,Mumbai Indians,DJ Thornely,1,0,10,7,10.0,0.0,0.0,0,1,2008,Mumbai
336018,Chennai Super Kings,1,Mumbai Indians,DS Kulkarni,4,3,33,28,8.25,11.0,9.33,0,4,2008,Mumbai
336018,Chennai Super Kings,1,Mumbai Indians,RR Raje,3,0,33,19,11.0,0.0,0.0,0,1,2008,Mumbai
336018,Chennai Super Kings,1,Mumbai Indians,SM Pollock,4,1,9,24,2.25,9.0,24.0,0,0,2008,Mumbai
336018,Mumbai Indians,2,Chennai Super Kings,CK Kapugedera,1,0,26,5,26.0,0.0,0.0,0,0,2008,Mumbai
336018,Mumbai Indians,2,Chennai Super Kings,JA Morkel,3,0,44,20,14.67,0.0,0.0,0,2,2008,Mumbai
336018,Mumbai Indians,2,Chennai Super Kings,Joginder Sharma,3,1,24,20,8.0,24.0,20.0,0,2,2008,Mumbai
336018,Mumbai Indians,2,Chennai Super Kings,L Balaji,2,0,9,15,4.5,0.0,0.0,0,3,2008,Mumbai
336018,Mumbai Indians,2,Chennai Super Kings,M Muralitharan,2,0,20,13,10.0,0.0,0.0,0,1,2008,Mumbai
336018,Mumbai Indians,2,Chennai Super Kings,MS Gony,3,0,31,21,10.33,0.0,0.0,0,3,2008,Mumbai
336019,Kings XI Punjab,1,Rajasthan Royals,D Salunkhe,3,0,23,18,7.67,0.0,0.0,0,0,2008,Chandigarh
336019,Kings XI Punjab,1,Rajasthan Royals,MM Patel,4,0,37,25,9.25,0.0,0.0,0,1,2008,Chandigarh
336019,Kings XI Punjab,1,Rajasthan Royals,Pankaj Singh,3,0,48,20,16.0,0.0,0.0,1,1,2008,Chandigarh
336019,Kings XI Punjab,1,Rajasthan Royals,SK Trivedi,4,0,48,24,12.0,0.0,0.0,0,0,2008,Chandigarh
336019,Kings XI Punjab,1,Rajasthan Royals,SR Watson,4,1,40,25,10.0,40.0,25.0,0,1,2008,Chandigarh
336019,Kings XI Punjab,1,Rajasthan Royals,YK Pathan,2,1,24,12,12.0,24.0,12.0,0,0,2008,Chandigarh
336019,Rajasthan Royals,2,Kings XI Punjab,IK Pathan,4,1,10,24,2.5,10.0,24.0,0,0,2008,Chandigarh
336019,Rajasthan Royals,2,Kings XI Punjab,JR Hopes,3,2,29,18,9.67,14.5,9.0,0,0,2008,Chandigarh
336019,Rajasthan Royals,2,Kings XI Punjab,PP Chawla,4,3,35,24,8.75,11.67,8.0,0,0,2008,Chandigarh
