ID,innings,BattingTeam,bowling_team,total_run_y
1304065,1,Delhi Capitals,Kolkata Knight Riders,215
1304065,2,Kolkata Knight Riders,Delhi Capitals,171
1304064,1,Mumbai Indians,Royal Challengers Bangalore,151
1304064,2,Royal Challengers Bangalore,Mumbai Indians,152
1304063,1,Chennai Super Kings,Sunrisers Hyderabad,154
1304063,2,Sunrisers Hyderabad,Chennai Super Kings,155
1304062,1,Punjab Kings,Gujarat Titans,189
1304062,2,Gujarat Titans,Punjab Kings,190
1304061,1,Delhi Capitals,Lucknow Super Giants,149
1304061,2,Lucknow Super Giants,Delhi Capitals,155
1304060,1,Mumbai Indians,Kolkata Knight Riders,161
1304060,2,Kolkata Knight Riders,Mumbai Indians,162
1304059,1,Rajasthan Royals,Royal Challengers Bangalore,169
1304059,2,Royal Challengers Bangalore,Rajasthan Royals,173
1304058,1,Lucknow Super Giants,Sunrisers Hyderabad,169
1304058,2,Sunrisers Hyderabad,Lucknow Super Giants,157
1304057,1,Punjab Kings,Chennai Super Kings,180
1304057,2,Chennai Super Kings,Punjab Kings,126
1304056,1,Gujarat Titans,Delhi Capitals,171
1304056,2,Delhi Capitals,Gujarat Titans,157
1304055,1,Rajasthan Royals,Mumbai Indians,193
1304055,2,Mumbai Indians,Rajasthan Royals,170
1304054,1,Punjab Kings,Kolkata Knight Riders,137
1304054,2,Kolkata Knight Riders,Punjab Kings,141
1304053,1,Chennai Super Kings,Lucknow Super Giants,210
1304053,2,Lucknow Super Giants,Chennai Super Kings,211
1304052,1,Kolkata Knight Riders,Royal Challengers Bangalore,128
1304052,2,Royal Challengers Bangalore,Kolkata Knight Riders,132
1304051,1,Rajasthan Royals,Sunrisers Hyderabad,210
1304051,2,Sunrisers Hyderabad,Rajasthan Royals,149
1304050,1,Lucknow Super Giants,Gujarat Titans,158
1304050,2,Gujarat Titans,Lucknow Super Giants,161
1304049,1,Royal Challengers Bangalore,Punjab Kings,205
1304049,2,Punjab Kings,Royal Challengers Bangalore,208
1304048,1,Mumbai Indians,Delhi Capitals,177
1304048,2,Delhi Capitals,Mumbai Indians,179
1304047,1,Chennai Super Kings,Kolkata Knight Riders,131
1304047,2,Kolkata Knight Riders,Chennai Super Kings,133
1254117,1,Chennai Super Kings,Kolkata Knight Riders,192
1254117,2,Kolkata Knight Riders,Chennai Super Kings,165
1254116,1,Delhi Capitals,Kolkata Knight Riders,135
1254116,2,Kolkata Knight Riders,Delhi Capitals,136
1254115,1,Royal Challengers Bangalore,Kolkata Knight Riders,138
1254115,2,Kolkata Knight Riders,Royal Challengers Bangalore,139
1254114,1,Delhi Capitals,Chennai Super Kings,172
1254114,2,Chennai Super Kings,Delhi Capitals,173
1254113,1,Royal Challengers Bangalore,Chennai Super Kings,156
1254113,2,Chennai Super Kings,Royal Challengers Bangalore,157
1254112,1,Mumbai Indians,Delhi Capitals,129
1254112,2,Delhi Capitals,Mumbai Indians,132
1254111,1,Rajasthan Royals,Punjab Kings,185
1254111,2,Punjab Kings,Rajasthan Royals,183
1254110,1,Chennai Super Kings,Delhi Capitals,136
1254110,2,Delhi Capitals,Chennai Super Kings,139
1254109,1,Sunrisers Hyderabad,Kolkata Knight Riders,115
1254109,2,Kolkata Knight Riders,Sunrisers Hyderabad,119
1254108,1,Royal Challengers Bangalore,Mumbai Indians,165
1254108,2,Mumbai Indians,Royal Challengers Bangalore,111
1254107,1,Punjab Kings,Sunrisers Hyderabad,125
1254107,2,Sunrisers Hyderabad,Punjab Kings,120
1254106,1,Kolkata Knight Riders,Rajasthan Royals,171
1254106,2,Rajasthan Royals,Kolkata Knight Riders,85
1254105,1,Sunrisers Hyderabad,Delhi Capitals,134
1254105,2,Delhi Capitals,Sunrisers Hyderabad,139
1254104,1,Chennai Super Kings,Mumbai Indians,156
1254104,2,Mumbai Indians,Chennai Super Kings,136
1254103,1,Rajasthan Royals,Royal Challengers Bangalore,149
1254103,2,Royal Challengers Bangalore,Rajasthan Royals,153
1254102,1,Kolkata Knight Riders,Punjab Kings,165
1254102,2,Punjab Kings,Kolkata Knight Riders,168
1254101,1,Delhi Capitals,Royal Challengers Bangalore,164
1254101,2,Royal Challengers Bangalore,Delhi Capitals,166
1254100,1,Rajasthan Royals,Sunrisers Hyderabad,164
1254100,2,Sunrisers Hyderabad,Rajasthan Royals,167
1254099,1,Punjab Kings,Mumbai Indians,135
1254099,2,Mumbai Indians,Punjab Kings,137
1254098,1,Kolkata Knight Riders,Chennai Super Kings,171
1254098,2,Chennai Super Kings,Kolkata Knight Riders,172
1254097,1,Delhi Capitals,Rajasthan Royals,154
1254097,2,Rajasthan Royals,Delhi Capitals,121
1254096,1,Mumbai Indians,Kolkata Knight Riders,155
1254096,2,Kolkata Knight Riders,Mumbai Indians,159
1254095,1,Sunrisers Hyderabad,Royal Challengers Bangalore,141
1254095,2,Royal Challengers Bangalore,Sunrisers Hyderabad,137
1254094,1,Chennai Super Kings,Punjab Kings,134
1254094,2,Punjab Kings,Chennai Super Kings,139
1254093,1,Rajasthan Royals,Mumbai Indians,90
